id,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Land Elevation,Total Rainfall,Target
0,18,3.1,0.5,0,5.9,6.1,14,1.8,6.6,1.4,6.7,3.3,0.78,9.3,58,494,135.48,Likely
1,0,0.1,0,0.1,8,13,0,0,13,11,0,0,0,0,7.8,4,53,Unlikely
2,0.06,0,0,0,0.02,11,5.9,0,4.7,0.48,42,2.9,0.7,0,0,40,67.76,Unlikely
3,0,1.4,2.5,0,0.1,0,0,0,0,1.8,5.9,36,10,21,18,1800,96.7,Likely
4,5,12.2,0.6,46,4.3,7,10.2,45,0.4,10.6,19,0.4,12,17.2,34,3805,223.9,Likely
5,0.4,0.6,0.2,3.6,0,0,7,0.2,0,0,0,0,0,0,0.4,94,12.4,Unlikely
6,6.821,0.028,0.194,0,0,0.012,63.648,0.042,0.78,0,0,6.609,78.124,19.909,0.25,167,176.417,Likely
7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.9,0,216,1.2,Unlikely
8,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,684,50,Likely
9,2,2.7,0.3,1,1.1,8,6,1.2,32,34,0.6,0.1,0,0,1.1,19,90.01,Unlikely
10,0.199,20.823,0.2,16.399,19.877,114.259,115.37,0.001,9.28,1.197,23.388,38.235,157.4,14.248,0.2,117,531.076,Likely
11,100.58,12.403,0,0.064,10.253,0.417,24.948,10.836,3.828,1.089,13.782,0,0.078,0.309,0,120,178.587,Unlikely
12,23.481,4.386,4.6,6.031,11.679,34.034,4.741,0.548,6.032,14.127,4.969,0.639,82.606,195.178,109.574,350,502.625,Likely
13,0.587,0.132,0.775,21.857,1.305,0,0,0,0,0,0.001,0,0.002,0.065,0.066,1590,24.79,Unlikely
14,0,0,0,2.986,0,0,0,0,0,0,0,0,6.916,3.978,40.72,20,54.6,Likely
15,0.021,0.014,0.609,0.027,0.15,0.144,0.007,0,0,0,0,0,0,16.877,9.881,35,27.73,Unlikely
16,2.614,0.115,0.605,2.127,0.514,1.32,2.614,0,14.165,11.059,0.682,7.001,9.563,13.36,17.972,97,83.711,Likely
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,381,0.01,Unlikely
18,1.095,24.127,4.231,0,3.111,44.893,7.366,0.785,0.028,0.185,7.634,0.321,32.762,0.151,33.066,201,159.755,Likely
19,0,0.001,0.002,0.077,0.003,0,0.542,0.002,0,0,0.489,0,0,0,0.113,112,1.229,Unlikely
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.935,110,62.935,Likely
21,0,0.3,0.7,3.6,2.9,4.4,4.6,2.3,2.2,1.9,2.2,2,1.7,1.4,10,6.1,40.2,Unlikely
22,0,0.575,0.008,0.084,0.084,10.205,30.492,2.233,2.141,9.967,36.671,0.907,0.108,3.34,66.305,32,163.12,Likely
